id	title	brand	link	price	description	image_link	seller_name	mpn	availability	product_category	condition	product_type
290	Nichia NDB7A75 445nm/448nm/450nm 3.5W 3500mW blue high power laser diode T05 9mm	CivilLaser	http://civillaser.com/-p-290.html	329	Nichia NDB7A75 445nm/448nm/450nm 3.5W 3500mW blue high power laser diode T05 9mm[Specifications]Product name: N	http://civillaser.com/images/NDB7A75%20450nm%203500mw%20ld%20(1).jpg	Civil Laser Products Supplier	C290	in stock	Electronics | Circuit Components | Optoelectronics | Laser Diodes	new	Industry & Business | Machinery | Laser Equipment Parts
289	OSRAM PL450B 440nm/450nm 80mW blue laser diode module TO-38	CivilLaser	http://civillaser.com/-p-289.html	49	OSRAM PL450B 440nm/450nm 80mW blue laser diode module TO-38[Specifications]Product name: 450nm 80mW blue laser 	http://civillaser.com/images/450nm%2080mw%20TO13%20laser%20diode%20(1).jpg	Civil Laser Products Supplier	C289	in stock	Electronics | Circuit Components | Optoelectronics | Laser Diodes	new	Industry & Business | Machinery | Laser Equipment Parts
288	OSRAM PL-TB450B 1600mW 1.6W 450nm blue laser diode  T018	CivilLaser	http://civillaser.com/-p-288.html	79	OSRAM PL-TB450B 1600mW 1.6W 450nm blue laser diode  T018[Specifications]Product name: OSRAM PL-TB450B 450nm 1.	http://civillaser.com/images/PL-TB450B%20450nm%201600mw%20blue%20laser%20diode%20(1).jpg	Civil Laser Products Supplier	C288	in stock	Electronics | Circuit Components | Optoelectronics | Laser Diodes	new	Industry & Business | Machinery | Laser Equipment Parts
287	New Nichia X6  405nm 120mw Blue Violet Laser Diode T018 5.6mm	CivilLaser	http://civillaser.com/-p-287.html	49	 Nichia X6  405nm 120mw Blue Violet Laser Diode T018 5.6mmThis is a 6X-speed high-power blue-violet diode, the optical head is complete Sanyo, but this las 	http://civillaser.com/images/405nm%20120mw%20x6%20laser%20diode%20(1).jpg	Civil Laser Products Supplier	C287	in stock	Electronics | Circuit Components | Optoelectronics | Laser Diodes	new	Industry & Business | Machinery | Laser Equipment Parts
286	SONY  SLD3234VFI  405nm 65mw Blue Violet Laser Diode  3.8mm	CivilLaser	http://civillaser.com/-p-286.html	25	SONY  SLD3234VFI  405nm 65mw Blue Violet Laser Diode  3.8mm[Specifications]Product name: Sony 405nm laser diodeOut	http://civillaser.com/images/hiteclaser%20laser%20diode.jpg	Civil Laser Products Supplier	C286	in stock	Electronics | Circuit Components | Optoelectronics | Laser Diodes	new	Industry & Business | Machinery | Laser Equipment Parts
285	635nm/637nm/638nm 250mW Multi-Mode red laser diode big beam spot	CivilLaser	http://civillaser.com/-p-285.html	45	635nm/637nm/638nm 250mW Multi-Mode red laser diode big beam spotIt's a multi-mode laser diode.The beam spot is big.Suitable for 	http://civillaser.com/images/638nm%20170mw%20laser%20diode%20(1).jpg	Civil Laser Products Supplier	C285	in stock	Electronics | Circuit Components | Optoelectronics | Laser Diodes	new	Industry & Business | Machinery | Laser Equipment Parts
284	635/638nm HL63133DG 170mW Single-Mode Orange red laser diode	CivilLaser	http://civillaser.com/-p-284.html	89	 635/638nm HL63133DG 170mW Single-Mode Orange red laser diodeIt's single-mode laser diode, so it's  expensive than multi-mode laser diode.T 	http://civillaser.com/images//638nm%20170mw%20laser%20diode%20(1).jpg	Civil Laser Products Supplier	C284	in stock	Electronics | Circuit Components | Optoelectronics | Laser Diodes	new	Industry & Business | Machinery | Laser Equipment Parts
283	850nm 200mw ir laser diodes RLD84PZJ2  T018 5.6mm with PD	CivilLaser	http://civillaser.com/-p-283.html	29	850nm 200mw ir laser diodes RLD84PZJ2  T018 5.6mm with PD[Specifications]Product name: 850nm laser diode	http://civillaser.com/images/850nm%20200mw%20laser%20diodes%20civillaser%20(1).jpg	Civil Laser Products Supplier	C283	in stock	Electronics | Circuit Components | Optoelectronics | Laser Diodes	new	Industry & Business | Machinery | Laser Equipment Parts
282	Red fiber laser 650nm 5mW~30mW fiber coupled laser  Single-Mode FC interface	CivilLaser	http://civillaser.com/-p-282.html	219	Red fiber laser 650nm 5mW~30mW fiber coupled laser  Single-Mode FC interface[Specifications]Output Wavelength:650nmO	http://civillaser.com/images/650nm%20small%20single-mode%20fiber%20laser.jpg	Civil Laser Products Supplier	C282	in stock	Electronics | Circuit Components | Optoelectronics | Laser Diodes	new	Industry & Business | Machinery | Laser Equipment Parts
281	Line laser 830nm 5mW~150mW IR laser module diode 16mmx60mm Free shipping	CivilLaser	http://civillaser.com/-p-281.html	67	Line laser 830nm 5mW~150mW IR laser module diode 16mmx60mm Free shipping[Specifications]Output Wavelength:830nm	http://civillaser.com/images/635nm%205mW~10mw%20%20red%20laser%20module%20line.jpg	Civil Laser Products Supplier	C281	in stock	Electronics | Circuit Components | Optoelectronics | Laser Diodes	new	Industry & Business | Machinery | Laser Equipment Parts
