id	title	description	google product category	product type	link	image link	additional image link	condition	availability	price	sale price	sale price effective date	brand	gtin	mpn	identifier exists	gender	age group	color	size	material	pattern	item group id	tax	shipping	shipping weight	multipack	adult	online only	excluded destination	expiration date	loyalty points	adwords grouping	adwords labels	adwords redirect

263	激安！650nm 200mw 赤色 レーザーモジュール点状 冷却ファン + 電源	"激安！650nm 200mw 赤色 レーザーモジュール点状 冷却ファン + 電源This laser module is equipped with a special aluminum heat sink and cooling fan,?Excellent thermal performance,?Can continue work long hours.?The bottom of the heat sink has M3 mounting holes and a quarter special screw lock bracket.【規格】波長: 650nm出力: 200mwレーザーの形: 点状仕事のやり方: Continuous Wave (CW)外型寸法: 75mm x 32mm x 32mm表面処理: 陽極酸化黒色定額電圧: DC 3V定額電流: about 250mA作動温度: 20℃~30℃保管温度: -20℃~60℃レーザー直径: 固定レーザビームの距離: &gt;1500m注意する:?1. Every 4 hours, please turn off the laser module, and wait the laser body cool down, then it can work again.2. Do not use it, if the operating ambient temperature is over 25 degrees.【附属品】1 x レーザー発光モジュール1 x レーザーモジュールの電源?1 x レーザーモジュール トーチホルダー/クランプ/マウント?"	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://jp.civillaser.com/-p-263.html	http://jp.civillaser.com/images/red%20laser%20modules%20with%20fan%20cooling%20(1).jpg		new	in stock	5900 Yen			CivilLaser		CJ263	TRUE								JP::0: 	JP:01:Express:0		2							Laser Module	www.jp.civillaser.com
262	激安！532nm 100mw~200mw 緑色 レーザーモジュール点状 冷却ファン + 電源	"激安！532nm 100mw~200mw 緑色 レーザーモジュール点状 冷却ファン + 電源This laser module is equipped with a special aluminum heat sink and cooling fan,?Excellent thermal performance,?Can continue work long hours.?The bottom of the heat sink has M3 mounting holes and a quarter special screw lock bracket.【規格】波長: 532nm出力: 100mw/200mw (選択)レーザーの形: 点状仕事のやり方: Continuous Wave (CW)外型寸法: 75mm x 32mm x 32mm表面処理: 陽極酸化黒色定額電圧: DC 3V定額電流: about 250mA作動温度: 20℃~30℃保管温度: -20℃~60℃レーザー直径: 固定レーザビームの距離: &gt;1500m注意する:?1. Every 4 hours, please turn off the laser module, and wait the laser body cool down, then it can work again.2. Do not use it, if the operating ambient temperature is over 25 degrees.【附属品】1 x レーザー発光モジュール1 x レーザーモジュールの電源?1 x レーザーモジュール トーチホルダー/クランプ/マウント?"	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://jp.civillaser.com/-p-262.html	http://jp.civillaser.com/images/green%20laser%20module%20with%20fan%20cooling%20(1).jpg		new	in stock	5900 Yen			CivilLaser		CJ262	TRUE								JP::0: 	JP:01:Express:0		2							Laser Module	www.jp.civillaser.com
261	激安！405nm 200mw 青&紫色 レーザーモジュール点状 冷却ファン + 電源	"激安！青&amp;紫色 レーザーモジュール点状 冷却ファン + 電源This laser module is equipped with a special aluminum heat sink and cooling fan,?Excellent thermal performance,?Can continue work long hours.?The bottom of the heat sink has M3 mounting holes and a quarter special screw lock bracket.【規格】波長: 405nm出力: 200mwレーザーの形: 点状仕事のやり方: Continuous Wave (CW)外型寸法: 75mm x 32mm x 32mm表面処理: 陽極酸化黒色定額電圧: DC 3V定額電流: about 250mA作動温度: 20℃~30℃保管温度: -20℃~60℃レーザー直径: 固定レーザビームの距離: &gt;1500m注意する:?1. Every 4 hours, please turn off the laser module, and wait the laser body cool down, then it can work again.2. Do not use it, if the operating ambient temperature is over 25 degrees.【附属品】1 x レーザー発光モジュール1 x レーザーモジュールの電源?1 x レーザーモジュール トーチホルダー/クランプ/マウント"	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://jp.civillaser.com/-p-261.html	http://jp.civillaser.com/images/blue%20laser%20module%20with%20fan%20cooling%20(1).jpg		new	in stock	5900 Yen			CivilLaser		CJ261	TRUE								JP::0: 	JP:01:Express:0		2							Laser Module	www.jp.civillaser.com
260	250mw 白色レーザーモジュール  RGB laser beam 組み合わせ  -- TTL変調	"250mw <font color=""#ffffff"" style=""background-color: rgb(51, 204, 204);"">白色レーザーモジュール</font> ?<span style=""background-color: rgb(255, 255, 102);"">RGB laser beam 組み合わせ</span> ?-- TTL変調This laser module does not include the power source, but with a DC port and the positive and negative power lines,?Users only need to connect the<span style=""background-color: rgb(102, 255, 153);""> DC 12V</span> power supply to work properly issued laser according to the occasion;<span style=""background-color: rgb(255, 204, 0);"">長時間连続仕事</span>This product is no time limit, you can open a long time. it comes with fan cooling;A circuit board is fixed together with the host, so more portable than split modules on the market, more reliable!【規格】商品名: 白色レーザーモジュール外型寸法: 97mm x 61mm x 44mmボードサイズ: 72.5mm x 43.5mm x 23mm<span style=""background-color: rgb(255, 153, 204);"">波長: 450nm/100mw &amp; 658nm/220mw &amp; 532nm/130mw?</span><span style=""background-color: rgb(255, 153, 204);"">出力: 240mw~250mw</span>放熱方法：アルミヒートシンク+ファ..."	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://jp.civillaser.com/-p-260.html	http://jp.civillaser.com/images/white%20laser%20beam%20laser%20module.jpg		new	in stock	18900 Yen			CivilLaser		CJ260	TRUE								JP::0: 	JP:01:Express:0		2							Laser Module	www.jp.civillaser.com
259	アルミニウム ラジエーター  放熱器 レーザーモジュール  直径 12mm	アルミニウム ラジエーター ?放熱器 レーザーモジュール ?直径 12mm[規格]商品名: ラジエーター ?放熱器 (For レーザーモジュール)フレーム材料: アルミニウム外型寸法: L 46mm x W 22mm x H 27mm直径(Inner hole): 12mm	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://jp.civillaser.com/-p-259.html	http://jp.civillaser.com/images/aluminum%20radiator%20heat%20sink%20(1).jpg		new	in stock	900 Yen			CivilLaser		CJ259	TRUE								JP::0: 	JP:01:Express:0		2							Laser Module	www.jp.civillaser.com
258	650nm 100mW 赤色 レーザーモジュール 十字 22*110mm	レーザーモジュール用途：試験、定位、工業、医療医疗、教鞭などに利用されております。【規格】波長: 650nm出力: ≤100mwレーザーの形: 十字レーザタイプ：可視光レーザ、赤色表面処理: 黒電流：≤160mA動作電圧： DC2.8-5V作動温度: -10--60℃保管温度: -40℃~80℃外型寸法: 22*110mm(默认，カスタマイズ可能)動作モード：連続レーザ作動媒体：半導体レーザ駆動方式：電気駆動式レーザ線幅：1.2m（カスタマイズ可能）保証期: 12ヶ月?使用寿命：8000時間以上構造の特徴：高品質レーザーダイオード+金属筐体+品質レンズ+不変出力回路板+プラグ線【附属品】1 x 赤色 レーザーモジュール；1 x 電源モジュール；1 x レーザーモジュールのほるだーこのレーザスポットのアップグレード版ですが、このレーザモジュールの利点1、大型、有益な放熱、増加寿命2、インテリジェントicの制御による駆動回路、安定性はよりよいです3、酸化シェル、永久帯電防止黒化。4、出光口所を加えた窓口片、防ほこり。5、最新の高技術レーザダイオードを使用して、60度までの温度に耐えることができる。6、内部充填熱伝導シリカゲルとADゼリー、確保放熱、耐震抗投げ。7、高温度線を用いた尾の電力線、靭性、耐食性が良い。	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://jp.civillaser.com/-p-258.html	http://jp.civillaser.com/images/fz-650nm-100mw-crosshair.jpg		new	in stock	6400 Yen			CivilLaser		CJ258	TRUE								JP::0: 	JP:01:Express:0		2							Laser Module	www.jp.civillaser.com
257	405nm 150mW 300mW 青紫色 工業級レーザーモジュール TTL	"405nm 150mW 300mW 青紫色 工業級レーザーモジュール TTLSuch products can be widely used in various stage laser light, with TTL modulation, The working time is very long and continuity, Industrial-grade laser module. Can provide a solution for the customers, designed to meet customer demand for laser module.【規格】外形寸法: 74mm* 30mm* 30mm電路寸法: 71.5mm* 35mm* 20mm波長: 405nm出力: 150mw/300mw (Choice)製冷方式: アルミ放熱?動作特性: 連続して仕事をするTTL変調頻度: 1Hz-20kHzTTL変調方式: 0V-no lasing, 5V-lasing表面処理：陽極酸化黒色フレーム材料：アルミニウム電路制御: 恒流反接保護：自動識別正負極定額電圧：DC=12V定額電流：I&lt;180mA預熱時間：なし作動温度：-10 ℃ ~ 40 ℃保管温度：-10 ℃ ~ 40 ℃構造特徴:レーザーパイプ+レンズ+発散外殻備考:電源を外付け式.特に注意して:入力電圧12V、超圧電気回路とモジュール瞬間破壊Special remind: input voltage is 12V, Over voltage will instantly cause circuit and module damage, if you have any problems, please advice, thank you!"	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://jp.civillaser.com/-p-257.html	http://jp.civillaser.com/images/405nm%20laser%20module%20civilaser.jpg		new	in stock	8900 Yen			CivilLaser		CJ257	TRUE								JP::0: 	JP:01:Express:0		2							Laser Module	www.jp.civillaser.com
256	OSRAM PL-TB450 450nm 1400mW 青色 レーザーダイオード TO-18	"OSRAM PL-TB450 450nm 1400mW 青色 レーザーダイオード TO-18【規格】商品名: 青色 レーザーダイオード生産地: German (OSRAM)発振波長[λp]: 450nm光出力[Po]: CW=1400mW?動作電流[Iop]: &lt;1700mA作動電圧[Vop]: 5Vパッケージ種類: T018(5.6mm)?作動寿命(MTTF): &gt;10,000 hoursNote:?This component sensitive to static electricity, anti-static measures do not make direct contact with the laser tube by human hand, in addition to the product must have a qualified driver circuit before work, different laser beam power with the same working voltage, but ?operating current is different, the circuit of the tube drive current needed to control in a safe range, otherwise it will affect life expectancy."	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://jp.civillaser.com/-p-256.html	http://jp.civillaser.com/images/445nm-laser-diode.jpg		new	in stock	10500 Yen	7900 Yen		CivilLaser		CJ256	TRUE								JP::0: 	JP:01:Express:0		2							Laser Module	www.jp.civillaser.com
255	Mitsubishi 660nm 100mw 赤色 レーザーダイオード TO-18	"Mitsubishi 660nm 100mw 赤色 レーザーダイオード TO-18【規格】商品名: 赤色 レーザーダイオード生産地: Japan (Mitsubishi)発振波長[λp]: 660nm光出力[Po]: CW=100mW Pomax=300mW動作電流[Iop]: &lt;200mA作動電圧[Vop]: 2.5 - 3Vパッケージ種類: T018(5.6mm)?作動寿命(MTTF): &gt;10,000 hours"	Electronics > Circuit Components > Optoelectronics > Laser Diodes	Electronics > Circuit Components > Optoelectronics > Laser products	http://jp.civillaser.com/-p-255.html	http://jp.civillaser.com/images/laser%20diode%20TO-18.jpg		new	in stock	2300 Yen			CivilLaser		CJ255	TRUE								JP::0: 	JP:01:Express:0		2							Laser Module	www.jp.civillaser.com
